detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
sobel,50,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,50,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,50,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,50,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,100,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,100,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,100,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,100,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,200,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,200,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,200,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,200,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,500,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,500,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,500,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
sobel,500,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,50,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,50,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,50,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,50,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,100,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,100,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,100,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,100,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,200,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,200,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,200,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,200,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,500,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,500,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,500,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
canny,500,5000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
log,50,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
log,50,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,0.0000,0.0000,0.0000,0.0000,238197632505765400042357716465536204800.00
