detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
sobel,10000,10,50,150,1,0,0,0,97,0.0001,17.88,0.00,0.00,0.00,0.0,30,0.0257,0.0007,0.0013,0.0007,42.52
sobel,10000,50,50,150,1,0,0,0,97,0.0001,17.88,0.00,0.00,0.00,0.0,30,0.0257,0.0007,0.0013,0.0007,42.52
sobel,10000,100,50,150,1,0,0,0,95,0.0001,16.76,0.00,0.00,0.00,0.0,30,0.0267,0.0007,0.0013,0.0007,41.73
sobel,10000,500,50,150,1,0,0,0,97,0.0001,18.10,0.00,0.00,0.00,0.0,30,0.0258,0.0007,0.0013,0.0007,42.67
sobel,20000,10,50,150,1,0,0,0,278,0.0003,8.30,0.00,0.00,0.00,0.0,30,0.0504,0.0039,0.0072,0.0036,35.81
sobel,20000,50,50,150,1,0,0,0,278,0.0003,8.29,0.00,0.00,0.00,0.0,30,0.0504,0.0039,0.0072,0.0036,35.80
sobel,20000,100,50,150,1,0,0,0,278,0.0003,8.29,0.00,0.00,0.00,0.0,30,0.0504,0.0039,0.0072,0.0036,35.80
sobel,20000,500,50,150,1,0,0,0,287,0.0003,10.63,0.00,0.00,0.00,0.0,30,0.0515,0.0040,0.0075,0.0038,37.44
sobel,50000,10,50,150,1,0,0,0,1522,0.0017,4.16,0.00,0.00,0.00,0.0,30,0.0412,0.0173,0.0244,0.0123,32.91
sobel,50000,50,50,150,1,0,0,0,1525,0.0017,3.88,0.00,0.00,0.00,0.0,30,0.0414,0.0175,0.0246,0.0124,32.72
sobel,50000,100,50,150,1,0,0,0,1530,0.0017,4.19,0.00,0.00,0.00,0.0,30,0.0412,0.0174,0.0245,0.0124,32.93
sobel,50000,500,50,150,1,0,0,0,1517,0.0016,3.93,0.00,0.00,0.00,0.0,30,0.0417,0.0175,0.0246,0.0125,32.75
sobel,100000,10,50,150,1,0,0,0,4924,0.0053,2.10,0.00,0.00,0.00,0.0,30,0.0400,0.0544,0.0461,0.0236,31.47
sobel,100000,50,50,150,1,0,0,0,4924,0.0053,2.25,0.00,0.00,0.00,0.0,30,0.0400,0.0544,0.0461,0.0236,31.58
sobel,100000,100,50,150,1,0,0,0,4922,0.0053,2.10,0.00,0.00,0.00,0.0,30,0.0400,0.0544,0.0461,0.0236,31.47
sobel,100000,500,50,150,1,0,0,0,4918,0.0053,2.43,0.00,0.00,0.00,0.0,30,0.0406,0.0552,0.0468,0.0239,31.70
canny,10000,10,50,150,1,0,0,0,94,0.0001,17.95,0.00,0.00,0.00,0.0,30,0.0255,0.0007,0.0013,0.0006,42.56
canny,10000,50,50,150,1,0,0,0,94,0.0001,16.68,0.00,0.00,0.00,0.0,30,0.0260,0.0007,0.0013,0.0007,41.67
canny,10000,100,50,150,1,0,0,0,94,0.0001,17.18,0.00,0.00,0.00,0.0,30,0.0225,0.0006,0.0011,0.0006,42.02
canny,10000,500,50,150,1,0,0,0,94,0.0001,17.18,0.00,0.00,0.00,0.0,30,0.0225,0.0006,0.0011,0.0006,42.02
