detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
sobel,10000,10,50,150,1,0,0,0,95,0.0001,17.18,0.00,0.00,0.00,0.0,30,0.0232,0.0006,0.0012,0.0006,99.88
sobel,10000,100,50,150,1,0,0,0,97,0.0001,17.88,0.00,0.00,0.00,0.0,30,0.0257,0.0007,0.0013,0.0007,99.87
sobel,50000,10,50,150,1,0,0,0,1522,0.0017,4.16,0.00,0.00,0.00,0.0,30,0.0412,0.0173,0.0244,0.0123,97.56
sobel,50000,100,50,150,1,0,0,0,1530,0.0017,4.19,0.00,0.00,0.00,0.0,30,0.0412,0.0174,0.0245,0.0124,97.55
sobel,100000,10,50,150,1,0,0,0,4924,0.0053,2.10,0.00,0.00,0.00,0.0,30,0.0400,0.0544,0.0461,0.0236,95.39
sobel,100000,100,50,150,1,0,0,0,4924,0.0053,2.70,0.00,0.00,0.00,0.0,30,0.0405,0.0552,0.0467,0.0239,95.33
canny,10000,10,50,150,1,0,0,0,94,0.0001,16.68,0.00,0.00,0.00,0.0,30,0.0260,0.0007,0.0013,0.0007,99.87
canny,10000,100,50,150,1,0,0,0,97,0.0001,18.10,0.00,0.00,0.00,0.0,30,0.0258,0.0007,0.0013,0.0007,99.87
canny,50000,10,50,150,1,0,0,0,1497,0.0016,3.72,0.00,0.00,0.00,0.0,30,0.0412,0.0170,0.0241,0.0122,97.59
canny,50000,100,50,150,1,0,0,0,1504,0.0016,3.60,0.00,0.00,0.00,0.0,30,0.0406,0.0169,0.0238,0.0121,97.62
canny,100000,10,50,150,1,0,0,0,4733,0.0051,2.26,0.00,0.00,0.00,0.0,30,0.0398,0.0521,0.0452,0.0231,95.48
canny,100000,100,50,150,1,0,0,0,4735,0.0051,2.50,0.00,0.00,0.00,0.0,30,0.0406,0.0531,0.0460,0.0236,95.40
log,10000,10,50,150,1,0,0,0,993,0.0011,4.08,0.00,0.00,0.00,0.0,30,0.0292,0.0080,0.0126,0.0063,98.74
log,10000,100,50,150,1,0,0,0,994,0.0011,3.71,0.00,0.00,0.00,0.0,30,0.0296,0.0081,0.0128,0.0064,98.72
log,50000,10,50,150,1,0,0,0,4883,0.0053,2.00,0.00,0.00,0.00,0.0,30,0.0367,0.0496,0.0422,0.0215,95.78
log,50000,100,50,150,1,0,0,0,4882,0.0053,2.01,0.00,0.00,0.00,0.0,30,0.0366,0.0494,0.0420,0.0215,95.80
log,100000,10,50,150,1,0,0,0,9530,0.0103,1.51,0.00,0.00,0.00,0.0,30,0.0363,0.0956,0.0526,0.0270,94.74
log,100000,100,50,150,1,0,0,0,9529,0.0103,1.49,0.00,0.00,0.00,0.0,30,0.0363,0.0955,0.0526,0.0270,94.74
