detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
sobel,50,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,50,1000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,50,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,50,5000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,100,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,100,1000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,100,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,100,5000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
sobel,200,500,50,150,1,0,0,0,0,0.0000,61.50,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,73.05
sobel,200,1000,50,150,1,0,0,0,0,0.0000,61.02,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,72.71
sobel,200,2000,50,150,1,0,0,0,0,0.0000,44.62,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,61.24
sobel,200,5000,50,150,1,0,0,0,1,0.0000,64.76,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,75.33
sobel,500,500,50,150,1,0,0,0,2,0.0000,86.73,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,90.71
sobel,500,1000,50,150,1,0,0,0,2,0.0000,87.45,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,91.21
sobel,500,2000,50,150,1,0,0,0,2,0.0000,88.33,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,91.83
sobel,500,5000,50,150,1,0,0,0,2,0.0000,90.30,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,93.21
canny,50,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,50,1000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,50,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
