detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
sobel,10000,10,50,150,1,0,0,0,95,0.0001,17.18,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,42.02
sobel,10000,50,50,150,1,0,0,0,95,0.0001,17.18,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,42.02
sobel,10000,100,50,150,1,0,0,0,94,0.0001,16.96,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.87
sobel,20000,10,50,150,1,0,0,0,279,0.0003,8.12,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,35.69
sobel,20000,50,50,150,1,0,0,0,278,0.0003,8.29,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,35.80
sobel,20000,100,50,150,1,0,0,0,278,0.0003,8.29,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,35.80
sobel,50000,10,50,150,1,0,0,0,1522,0.0017,4.16,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.91
sobel,50000,50,50,150,1,0,0,0,1531,0.0017,4.18,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.93
sobel,50000,100,50,150,1,0,0,0,1525,0.0017,3.89,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.72
canny,10000,10,50,150,1,0,0,0,93,0.0001,16.73,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.71
canny,10000,50,50,150,1,0,0,0,97,0.0001,18.10,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,42.67
canny,10000,100,50,150,1,0,0,0,97,0.0001,18.10,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,42.67
canny,20000,10,50,150,1,0,0,0,286,0.0003,10.68,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,37.47
canny,20000,50,50,150,1,0,0,0,282,0.0003,10.98,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,37.68
canny,20000,100,50,150,1,0,0,0,276,0.0003,8.36,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,35.85
canny,50000,10,50,150,1,0,0,0,1508,0.0016,4.25,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.98
canny,50000,50,50,150,1,0,0,0,1498,0.0016,3.87,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.71
canny,50000,100,50,150,1,0,0,0,1508,0.0016,4.25,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.98
log,10000,10,50,150,1,0,0,0,993,0.0011,4.08,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.86
log,10000,50,50,150,1,0,0,0,994,0.0011,3.85,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.69
log,10000,100,50,150,1,0,0,0,993,0.0011,4.08,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,32.86
log,20000,10,50,150,1,0,0,0,1981,0.0021,2.72,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.91
log,20000,50,50,150,1,0,0,0,1981,0.0021,2.82,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.98
log,20000,100,50,150,1,0,0,0,1981,0.0021,2.71,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.90
log,50000,10,50,150,1,0,0,0,4882,0.0053,2.09,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.46
log,50000,50,50,150,1,0,0,0,4882,0.0053,2.09,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.46
log,50000,100,50,150,1,0,0,0,4883,0.0053,2.10,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,31.47
