detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,score
sobel,50,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
sobel,50,1000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
sobel,50,2000,50,150,1,0,0,0,0,0.0000,10.18,0.00,0.00,0.00,0.0,50,37.129288
sobel,100,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
sobel,100,1000,50,150,1,0,0,0,0,0.0000,19.08,0.00,0.00,0.00,0.0,50,43.353313
sobel,100,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
sobel,200,500,50,150,1,0,0,0,1,0.0000,64.41,0.00,0.00,0.00,0.0,50,75.08439
sobel,200,1000,50,150,1,0,0,0,1,0.0000,57.06,0.00,0.00,0.00,0.0,50,69.941666
sobel,200,2000,50,150,1,0,0,0,1,0.0000,64.41,0.00,0.00,0.00,0.0,50,75.08439
sobel,500,500,50,150,1,0,0,0,3,0.0000,92.69,0.00,0.00,0.00,0.0,50,94.88126
sobel,500,1000,50,150,1,0,0,0,2,0.0000,87.42,0.00,0.00,0.00,0.0,50,91.19693
sobel,500,2000,50,150,1,0,0,0,2,0.0000,86.02,0.00,0.00,0.00,0.0,50,90.21208
canny,50,500,50,150,1,0,0,0,0,0.0000,10.18,0.00,0.00,0.00,0.0,50,37.129288
canny,50,1000,50,150,1,0,0,0,0,0.0000,10.18,0.00,0.00,0.00,0.0,50,37.129288
canny,50,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
canny,100,500,50,150,1,0,0,0,0,0.0000,19.08,0.00,0.00,0.00,0.0,50,43.353313
canny,100,1000,50,150,1,0,0,0,0,0.0000,19.08,0.00,0.00,0.00,0.0,50,43.353313
canny,100,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,50,30.000002
canny,200,500,50,150,1,0,0,0,1,0.0000,64.41,0.00,0.00,0.00,0.0,50,75.08439
canny,200,1000,50,150,1,0,0,0,1,0.0000,52.71,0.00,0.00,0.00,0.0,50,66.89815
canny,200,2000,50,150,1,0,0,0,1,0.0000,52.71,0.00,0.00,0.00,0.0,50,66.89815
canny,500,500,50,150,1,0,0,0,3,0.0000,92.69,0.00,0.00,0.00,0.0,50,94.88126
canny,500,1000,50,150,1,0,0,0,3,0.0000,91.73,0.00,0.00,0.00,0.0,50,94.21051
canny,500,2000,50,150,1,0,0,0,3,0.0000,92.70,0.00,0.00,0.00,0.0,50,94.888664
log,50,500,50,150,1,0,0,0,5,0.0000,57.19,0.00,0.00,0.00,0.0,50,70.03032
log,50,1000,50,150,1,0,0,0,5,0.0000,57.19,0.00,0.00,0.00,0.0,50,70.03032
log,50,2000,50,150,1,0,0,0,5,0.0000,58.21,0.00,0.00,0.00,0.0,50,70.75034
log,100,500,50,150,1,0,0,0,10,0.0000,38.49,0.00,0.00,0.00,0.0,50,56.940033
log,100,1000,50,150,1,0,0,0,10,0.0000,41.52,0.00,0.00,0.00,0.0,50,59.062515
log,100,2000,50,150,1,0,0,0,10,0.0000,38.39,0.00,0.00,0.00,0.0,50,56.871536
log,200,500,50,150,1,0,0,0,20,0.0000,32.58,0.00,0.00,0.00,0.0,50,52.80656
log,200,1000,50,150,1,0,0,0,20,0.0000,32.58,0.00,0.00,0.00,0.0,50,52.80656
log,200,2000,50,150,1,0,0,0,20,0.0000,31.59,0.00,0.00,0.00,0.0,50,52.11462
log,500,500,50,150,1,0,0,0,50,0.0001,18.23,0.00,0.00,0.00,0.0,50,42.76094
log,500,1000,50,150,1,0,0,0,50,0.0001,18.05,0.00,0.00,0.00,0.0,50,42.632317
log,500,2000,50,150,1,0,0,0,50,0.0001,17.76,0.00,0.00,0.00,0.0,50,42.43474
